"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0.112846829999735,0.0220877730451213,0.0216804086977822,0.0220877730451213,0.0216804086977822,0.0228761054143497,0.0216804086977822,0.0220877730451213,0.0216804086977822,0.0220877730451213,0.0246685482704723,0.000103862727028294
"2",0.0220877730451213,0.00432387234801852,0.00426551268780207,0.00434633834617239,0.00426754587554678,0.00450265706417002,0.00426340347826056,0.00434633834617239,0.00426459652923037,0.00437890163386627,0.00484549385192016,0.0000200856474144784
"3",0.0216804086977822,0.00426551268780207,0.00415953149031493,0.00426754587554678,0.00418195384075202,0.00441976585802186,0.00418195384075202,0.00426340347826056,0.00421774033704446,0.00426459652923037,0.00475598821165475,0.0000197781167312452
"4",0.0220877730451213,0.00434633834617239,0.00426754587554678,0.00432387234801852,0.00426459652923037,0.00450265706417002,0.00426551268780207,0.00437890163386627,0.00426340347826056,0.00434633834617239,0.00484549385192016,0.0000200856474144784
"5",0.0216804086977822,0.00426754587554678,0.00418195384075202,0.00426459652923037,0.00415953149031493,0.00441976585802186,0.00421774033704446,0.00426551268780207,0.00418195384075202,0.00426340347826056,0.00475598821165475,0.0000197781167312452
"6",0.0228761054143497,0.00450265706417002,0.00441976585802186,0.00450265706417002,0.00441976585802186,0.00466077393324854,0.00441976585802186,0.00450265706417002,0.00441976585802186,0.00450265706417002,0.00502001054338161,0.0000207253430217206
"7",0.0216804086977822,0.00426340347826056,0.00418195384075202,0.00426551268780207,0.00421774033704446,0.00441976585802186,0.00415953149031493,0.00426459652923037,0.00418195384075202,0.00426754587554678,0.00475598821165475,0.0000197781167312452
"8",0.0220877730451213,0.00434633834617239,0.00426340347826056,0.00437890163386627,0.00426551268780207,0.00450265706417002,0.00426459652923037,0.00432387234801852,0.00426754587554678,0.00434633834617239,0.00484549385192016,0.0000200856474144784
"9",0.0216804086977822,0.00426459652923037,0.00421774033704446,0.00426340347826056,0.00418195384075202,0.00441976585802186,0.00418195384075202,0.00426754587554678,0.00415953149031493,0.00426551268780207,0.00475598821165475,0.0000197781167312452
"10",0.0220877730451213,0.00437890163386627,0.00426459652923037,0.00434633834617239,0.00426340347826056,0.00450265706417002,0.00426754587554678,0.00434633834617239,0.00426551268780207,0.00432387234801852,0.00484549385192016,0.0000200856474144784
"11",0.0246685482704723,0.00484549385192016,0.00475598821165475,0.00484549385192016,0.00475598821165475,0.00502001054338161,0.00475598821165475,0.00484549385192016,0.00475598821165475,0.00484549385192016,0.00538191409502996,0.0000206899809664135
"12",0.000103862727028294,0.0000200856474144784,0.0000197781167312452,0.0000200856474144784,0.0000197781167312452,0.0000207253430217206,0.0000197781167312452,0.0000200856474144784,0.0000197781167312452,0.0000200856474144784,0.0000206899809664135,0.00000000417192787331902
